BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
1,2,1,18-08-20 17:24,8,F4805,3,5
1,2,2,19-08-20 17:05,8,F3199,1,5
1,2,2,20-08-20 17:02,8,F2801,1,2
1,2,4,21-08-20 16:56,8,F6770,3,2
1,16,1,14-08-20 17:18,5,F0000,2,3
1,16,2,15-08-20 17:42,5,F0000,1,4
1,16,2,16-08-20 17:17,5,F0000,1,5
1,18,1,24-08-20 17:09,55,F3556,1,1
1,18,1,28-08-20 16:52,55,F3871,3,4
1,21,1,18-08-20 17:24,30,F4805,1,2
1,25,1,29-08-20 17:24,10,F4703,2,1
1,26,2,23-08-20 17:29,5,F4194,2,3
1,45,1,29-08-20 17:24,10,F4703,1,2
1,51,1,23-08-20 17:29,15,F4194,1,4
1,107,1,15-08-20 17:42,10,F0000,2,5
1,107,1,16-08-20 17:17,10,F0000,2,2
1,107,1,19-08-20 17:05,10,F3199,2,5
1,123,1,25-08-20 17:06,8,F4246,1,3
1,123,1,29-08-20 17:24,8,F4703,3,4
1,123,4,21-08-20 16:56,8,F6770,2,4
1,140,2,11-08-20 20:02,26,F0000,1,2
1,155,1,26-08-20 17:07,27,F3195,3,2
1,155,2,17-08-20 17:21,27,F3383,2,2
1,155,3,28-08-20 16:52,27,F3871,1,3
1,156,1,11-08-20 20:02,30,F0000,2,3
1,156,1,12-08-20 17:51,30,F0000,1,4
1,156,1,29-08-20 17:24,30,F4703,4,4
1,156,2,28-08-20 16:52,30,F3871,2,3
1,156,4,17-08-20 17:21,30,F3383,1,5
1,159,1,13-08-20 17:46,20,F0000,1,4
1,159,1,27-08-20 17:04,20,F3607,1,3
1,160,1,22-08-20 17:04,25,F4479,1,3
1,160,1,26-08-20 17:07,25,F3195,2,3
1,160,4,21-08-20 16:56,25,F6770,1,3
1,163,1,14-08-20 17:18,20,F0000,1,3
1,163,1,18-08-20 17:24,20,F4805,2,3
1,167,1,27-08-20 17:04,10,F3607,2,5
1,168,1,26-08-20 17:07,27,F3195,1,5
1,168,2,17-08-20 17:21,27,F3383,3,4
1,170,6,23-08-20 17:04,20,F4255,1,5
2,2,1,18-08-20 17:24,8,F3600,1,3
2,2,1,19-08-20 17:05,8,F2009,1,5
2,2,1,20-08-20 17:03,8,F2116,1,3
2,2,3,21-08-20 16:59,8,F2266,1,2
2,14,1,25-08-20 17:06,10,F4263,1,4
2,15,1,15-08-20 18:07,35,F0000,1,3
2,15,1,17-08-20 17:22,35,F3383,1,1
2,15,1,22-08-20 17:06,35,F3031,1,2
2,15,1,28-08-20 16:56,35,F3290,1,3
2,16,1,15-08-20 18:07,5,F0000,2,5
2,26,2,26-08-20 17:07,5,F2126,1,2
2,45,1,29-08-20 17:24,10,F4374,1,3
2,51,1,23-08-20 17:29,15,F4233,1,4
2,107,1,11-08-20 20:24,10,F0000,1,4
2,107,1,14-08-20 17:19,10,F0000,1,3
2,107,1,23-08-20 17:06,10,F4586,1,2
2,107,1,24-08-20 17:09,10,F3787,1,5
