ItemID,Quantity_Sum,StudentIDval,hours
1,41,"3","17"
1,9,"4","23"
1,3,"6","17"
1,117,"2","17"
1,3,"8","23"
1,50,"3","23"
1,34,"1","23"
1,2,"7","22"
1,24,"1","22"
1,46,"4","17"
1,30,"2","22"
1,7,"6","23"
1,76,"2","23"
1,16,"8","17"
1,9,"5","22"
1,16,"3","24"
1,18,"2","24"
1,3,"8","24"
1,7,"4","24"
1,5,"1","24"
1,20,"3","22"
1,1,"2","25"
1,3,"4","22"
1,12,"8","20"
1,3,"8","22"
1,5,"3","20"
1,12,"1","17"
1,7,"2","21"
1,2,"5","23"
1,1,"4","21"
1,1,"8","21"
1,4,"3","21"
1,2,"4","20"
1,2,"1","21"
1,1,"6","22"
2,26,"2","24"
2,57,"2","23"
2,1751,"2","17"
2,550,"3","17"
2,24,"5","17"
2,37,"6","17"
2,366,"4","17"
2,13,"1","21"
2,384,"1","17"
2,16,"3","21"
2,34,"3","23"
2,4,"4","21"
2,20,"2","22"
2,9,"7","21"
2,33,"3","18"
2,64,"2","18"
2,38,"1","18"
2,15,"4","23"
2,14,"1","22"
2,34,"5","18"
2,5,"8","22"
2,4,"8","23"
2,36,"1","23"
2,6,"5","23"
2,4,"1","20"
2,13,"3","20"
2,11,"2","21"
2,4,"5","21"
2,7,"4","20"
2,22,"3","24"
2,9,"8","21"
2,13,"4","24"
2,18,"3","22"
2,4,"8","18"
2,24,"4","18"
2,21,"1","24"
2,3,"6","23"
2,13,"7","18"
2,6,"4","22"
2,4,"7","22"
2,13,"2","20"
2,1,"6","21"
2,5,"8","24"
2,1,"6","22"
2,91,"8","17"
2,4,"2","16"
2,1,"5","25"
2,2,"1","16"
2,5,"3","16"
2,1,"5","24"
2,2,"7","23"
2,5,"2","25"
2,3,"3","25"
2,14,"7","17"
2,3,"8","16"
2,81,"2","default"
2,48,"3","default"
2,13,"4","default"
2,3,"7","default"
2,6,"8","default"
2,4,"5","20"
2,7,"6","18"
2,2,"1","25"
2,1,"6","20"
2,2,"7","20"
4,41,"3","21"
4,34,"4","20"
4,9,"1","22"
4,89,"2","20"
4,10,"8","21"
4,94,"2","21"
4,32,"4","21"
4,26,"1","21"
4,35,"2","22"
4,8,"5","20"
4,21,"3","22"
4,30,"1","20"
4,53,"3","20"
4,9,"4","22"
4,12,"8","20"
4,3,"8","22"
4,7,"7","21"
4,7,"7","20"
4,2,"5","22"
4,1,"1","23"
4,1,"7","22"
4,2,"5","21"
4,1,"6","21"
4,3,"6","20"
12,44,"3","23"
12,17,"2","22"
12,13,"4","20"
12,33,"3","24"
12,28,"3","default"
12,4,"8","21"
12,13,"4","21"
12,15,"2","20"
12,40,"2","24"
12,21,"3","22"
12,19,"4","default"
12,14,"2","25"
12,23,"4","24"
12,29,"1","23"
12,59,"1","24"
