Consequent	Antecedent 	Support %	Confidence %
ItemName_Veg Petty	hours_18 and StudentIDval_6	0.192	100.0
ItemName_Plain Maggi	hours_25 and StudentIDval_2	0.192	100.0
ItemName_Pastry	hours_17 and StudentIDval_7	0.384	50.0
ItemName_Pastry	hours_17 and StudentIDval_6	0.384	50.0
ItemName_CHCO PIE	hours_25 and StudentIDval_5	0.384	50.0
ItemName_Veg Petty	hours_17 and StudentIDval_7	0.384	50.0
ItemName_Veg Petty	hours_17 and StudentIDval_6	0.384	50.0
ItemName_Plain Maggi	StudentIDval_7 and hours_24	0.384	50.0
ItemName_Butter Naan	StudentIDval_7 and hours_24	0.384	50.0
ItemName_COKE MIX 600 ML	hours_25 and StudentIDval_5	0.384	50.0
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_3	0.576	33.333
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_4	0.576	33.333
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_1	0.576	33.333
ItemName_Pastry	hours_17 and StudentIDval_3	0.576	33.333
ItemName_Pastry	hours_17 and StudentIDval_4	0.576	33.333
ItemName_Pastry	hours_17 and StudentIDval_1	0.576	33.333
ItemName_Veg Petty	hours_17 and StudentIDval_3	0.576	33.333
ItemName_Veg Petty	hours_17 and StudentIDval_4	0.576	33.333
ItemName_Veg Petty	hours_17 and StudentIDval_1	0.576	33.333
ItemName_Butter Chicken	StudentIDval_2 and hours_20	0.576	33.333
ItemName_Plain Maggi	hours_25 and StudentIDval_4	0.576	33.333
ItemName_Chicken Sandwich	StudentIDval_7 and hours_23	0.576	33.333
ItemName_Chese Toast	StudentIDval_7 and hours_23	0.576	33.333
ItemName_Butter Naan	StudentIDval_7 and hours_23	0.576	33.333
ItemName_Chese Toast	hours_25 and StudentIDval_4	0.576	33.333
ItemName_COKE MIX 600 ML	hours_25 and StudentIDval_4	0.576	33.333
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_20	0.576	33.333
ItemName_Butter Naan	StudentIDval_2 and hours_20	0.576	33.333
ItemName_Veg Petty	hours_18	1.344	28.571
ItemName_Pastry	hours_17	5.374	28.571
ItemName_Veg Petty	hours_17	5.374	28.571
ItemName_SNICKERS SNACK 	hours_25 and StudentIDval_6	0.768	25.0
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_5	0.768	25.0
ItemName_Pastry	hours_17 and StudentIDval_5	0.768	25.0
ItemName_Veg Petty	hours_17 and StudentIDval_5	0.768	25.0
ItemName_Chese Burger	StudentIDval_2 and hours_21	0.768	25.0
ItemName_Chese Burger	StudentIDval_1 and hours_20	0.768	25.0
ItemName_Masala Dosa	StudentIDval_1 and hours_20	0.768	25.0
ItemName_COKE MIX 600 ML	hours_17 and StudentIDval_5	0.768	25.0
ItemName_Plain Maggi	hours_25 and StudentIDval_6	0.768	25.0
ItemName_Ice Cream Shake	StudentIDval_2 and hours_21	0.768	25.0
ItemName_Ice Cream Shake	StudentIDval_4 and hours_21	0.768	25.0
ItemName_Ice Cream Shake	StudentIDval_1 and hours_20	0.768	25.0
ItemName_Chese Toast	hours_25 and StudentIDval_6	0.768	25.0
ItemName_Butter Naan	hours_25 and StudentIDval_6	0.768	25.0
ItemName_Chese Toast	StudentIDval_2 and hours_21	0.768	25.0
ItemName_Chese Toast	StudentIDval_4 and hours_21	0.768	25.0
ItemName_COKE MIX 600 ML	StudentIDval_4 and hours_21	0.768	25.0
ItemName_Butter Naan	StudentIDval_2 and hours_21	0.768	25.0
ItemName_Butter Naan	StudentIDval_4 and hours_21	0.768	25.0
ItemName_Butter Naan	StudentIDval_1 and hours_20	0.768	25.0
ItemName_SAMOSA CHAT	hours_17	5.374	21.429
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_8	0.96	20.0
ItemName_Pastry	hours_17 and StudentIDval_8	0.96	20.0
ItemName_CHCO PIE	hours_17 and StudentIDval_8	0.96	20.0
ItemName_Veg Petty	hours_17 and StudentIDval_8	0.96	20.0
ItemName_KADHAI PANEER	StudentIDval_3 and hours_20	0.96	20.0
ItemName_Samosa	hours_17 and StudentIDval_8	0.96	20.0
ItemName_Butter Chicken	StudentIDval_3 and hours_20	0.96	20.0
