Consequent	Antecedent 	Support %	Confidence %
ItemName_Veg Petty	hours_16	0.149	100.0
ItemName_Veg Petty	hours_16 and StudentIDval_8	0.149	100.0
ItemName_Veg Petty	hours_18 and StudentIDval_2	0.149	100.0
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_6	0.149	100.0
ItemName_Pastry	hours_17 and StudentIDval_7	0.298	50.0
ItemName_Veg Petty	hours_18 and StudentIDval_6	0.298	50.0
ItemName_Veg Petty	hours_17 and StudentIDval_7	0.298	50.0
ItemName_SAMOSA CHAT	hours_18 and StudentIDval_6	0.298	50.0
ItemName_SAMOSA CHAT	hours_18 and StudentIDval_5	0.298	50.0
ItemName_COKE MIX 600 ML	hours_18 and StudentIDval_5	0.298	50.0
ItemName_Plain Maggi	StudentIDval_7 and hours_25	0.298	50.0
ItemName_Chese Toast	StudentIDval_7 and hours_25	0.298	50.0
ItemName_Pastry	hours_17 and StudentIDval_4	0.447	33.333
ItemName_Veg Petty	hours_18 and StudentIDval_1	0.447	33.333
ItemName_Veg Petty	hours_17 and StudentIDval_4	0.447	33.333
ItemName_SAMOSA CHAT	hours_18 and StudentIDval_1	0.447	33.333
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_4	0.447	33.333
ItemName_PULPY ORANGE	hours_18 and StudentIDval_1	0.447	33.333
ItemName_Chese Toast	StudentIDval_7 and hours_23	0.447	33.333
ItemName_Butter Naan	StudentIDval_7 and hours_23	0.447	33.333
ItemName_Ice Cream Shake	StudentIDval_7 and hours_23	0.447	33.333
ItemName_MIX JUICE	hours_17 and StudentIDval_1	0.596	25.0
ItemName_Pastry	hours_17 and StudentIDval_3	0.596	25.0
ItemName_Pastry	hours_17 and StudentIDval_5	0.596	25.0
ItemName_Pastry	hours_17 and StudentIDval_1	0.596	25.0
ItemName_CHCO PIE	StudentIDval_4 and hours_25	0.596	25.0
ItemName_CHCO PIE	hours_25 and StudentIDval_5	0.596	25.0
ItemName_SNICKERS SNACK 	StudentIDval_4 and hours_25	0.596	25.0
ItemName_SNICKERS SNACK 	hours_25 and StudentIDval_5	0.596	25.0
ItemName_Veg Petty	hours_17 and StudentIDval_3	0.596	25.0
ItemName_Veg Petty	hours_17 and StudentIDval_5	0.596	25.0
ItemName_Veg Petty	hours_17 and StudentIDval_1	0.596	25.0
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_3	0.596	25.0
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_5	0.596	25.0
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_1	0.596	25.0
ItemName_Plain Maggi	StudentIDval_7 and hours_24	0.596	25.0
ItemName_Plain Maggi	StudentIDval_4 and hours_25	0.596	25.0
ItemName_Plain Maggi	StudentIDval_2 and hours_25	0.596	25.0
ItemName_Plain Maggi	hours_25 and StudentIDval_5	0.596	25.0
ItemName_PULPY ORANGE	hours_17 and StudentIDval_3	0.596	25.0
ItemName_COKE MIX 600 ML	hours_17 and StudentIDval_5	0.596	25.0
ItemName_Chicken Sandwich	StudentIDval_7 and hours_24	0.596	25.0
ItemName_Chese Toast	StudentIDval_7 and hours_24	0.596	25.0
ItemName_Chese Toast	StudentIDval_4 and hours_25	0.596	25.0
ItemName_Chese Toast	StudentIDval_2 and hours_25	0.596	25.0
ItemName_PULPY ORANGE	StudentIDval_2 and hours_25	0.596	25.0
ItemName_Ice Cream Shake	StudentIDval_7 and hours_24	0.596	25.0
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_25	0.596	25.0
ItemName_COKE MIX 600 ML	hours_25 and StudentIDval_5	0.596	25.0
ItemName_Pastry	hours_17	5.067	20.588
ItemName_Veg Petty	hours_17	5.067	20.588
ItemName_SAMOSA CHAT	hours_17	5.067	20.588
ItemName_Veg Petty	hours_18	2.981	20.0
ItemName_SAMOSA CHAT	hours_18	2.981	20.0
ItemName_Plain Dosa	StudentIDval_6 and hours_25	0.745	20.0
ItemName_Plain Maggi	StudentIDval_6 and hours_25	0.745	20.0
ItemName_Chese Toast	StudentIDval_6 and hours_25	0.745	20.0
ItemName_Butter Naan	StudentIDval_6 and hours_25	0.745	20.0
ItemName_COKE MIX 600 ML	StudentIDval_6 and hours_25	0.745	20.0
ItemName_CHILLY CHICKEN 	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Tandury Chicken 1/2	StudentIDval_6 and hours_20	0.894	16.667
ItemName_KADHAI PANEER	StudentIDval_6 and hours_20	0.894	16.667
ItemName_SNICKERS SNACK 	StudentIDval_3 and hours_25	0.894	16.667
ItemName_Butter Chicken	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Plain Maggi	StudentIDval_3 and hours_25	0.894	16.667
ItemName_Chicken Sandwich	StudentIDval_4 and hours_21	0.894	16.667
ItemName_Chicken Sandwich	StudentIDval_2 and hours_21	0.894	16.667
ItemName_Chicken Sandwich	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Chese Toast	StudentIDval_4 and hours_21	0.894	16.667
ItemName_Chese Toast	StudentIDval_2 and hours_21	0.894	16.667
ItemName_Chese Toast	StudentIDval_3 and hours_25	0.894	16.667
ItemName_Chese Toast	StudentIDval_3 and hours_21	0.894	16.667
ItemName_PULPY ORANGE	StudentIDval_4 and hours_21	0.894	16.667
ItemName_PULPY ORANGE	StudentIDval_2 and hours_21	0.894	16.667
ItemName_PULPY ORANGE	StudentIDval_3 and hours_25	0.894	16.667
ItemName_PULPY ORANGE	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Butter Naan	StudentIDval_4 and hours_21	0.894	16.667
ItemName_Butter Naan	StudentIDval_2 and hours_21	0.894	16.667
ItemName_Butter Naan	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Butter Naan	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_4 and hours_21	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_2 and hours_21	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_3 and hours_25	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_6 and hours_20	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_4 and hours_21	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_21	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_25	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_21	0.894	16.667
ItemName_MIX JUICE	hours_17 and StudentIDval_2	1.043	14.286
ItemName_BINOG CHIP @20	hours_17 and StudentIDval_2	1.043	14.286
ItemName_Chese Burger	StudentIDval_1 and hours_20	1.043	14.286
ItemName_Pastry	hours_17 and StudentIDval_2	1.043	14.286
ItemName_KADHAI PANEER	StudentIDval_6 and hours_21	1.043	14.286
ItemName_KADHAI PANEER	StudentIDval_5 and hours_20	1.043	14.286
ItemName_SNICKERS SNACK 	hours_17 and StudentIDval_2	1.043	14.286
ItemName_PEPSI 600ML	StudentIDval_7 and hours_22	1.043	14.286
ItemName_Veg Petty	hours_17 and StudentIDval_2	1.043	14.286
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_2	1.043	14.286
ItemName_Butter Chicken	StudentIDval_6 and hours_21	1.043	14.286
ItemName_Butter Chicken	StudentIDval_5 and hours_20	1.043	14.286
ItemName_Butter Chicken	StudentIDval_1 and hours_20	1.043	14.286
ItemName_Masala Dosa	StudentIDval_7 and hours_22	1.043	14.286
ItemName_Masala Dosa	StudentIDval_6 and hours_21	1.043	14.286
ItemName_Masala Dosa	StudentIDval_5 and hours_20	1.043	14.286
ItemName_Masala Dosa	StudentIDval_1 and hours_21	1.043	14.286
ItemName_Masala Dosa	StudentIDval_1 and hours_20	1.043	14.286
ItemName_Plain Maggi	StudentIDval_1 and hours_21	1.043	14.286
ItemName_PULPY ORANGE	hours_17 and StudentIDval_2	1.043	14.286
ItemName_Chicken Sandwich	StudentIDval_7 and hours_22	1.043	14.286
ItemName_Chicken Sandwich	StudentIDval_5 and hours_20	1.043	14.286
ItemName_Chicken Sandwich	StudentIDval_1 and hours_21	1.043	14.286
ItemName_Chicken Sandwich	StudentIDval_1 and hours_20	1.043	14.286
ItemName_Chese Toast	StudentIDval_6 and hours_21	1.043	14.286
ItemName_PULPY ORANGE	StudentIDval_7 and hours_22	1.043	14.286
ItemName_PULPY ORANGE	StudentIDval_1 and hours_21	1.043	14.286
ItemName_Butter Naan	StudentIDval_7 and hours_22	1.043	14.286
ItemName_Butter Naan	StudentIDval_6 and hours_21	1.043	14.286
