Consequent	Antecedent 	Support %	Confidence %
ItemName_Veg Petty	hours_18 and StudentIDval_4	0.149	100.0
ItemName_Veg Petty	hours_18 and StudentIDval_6	0.149	100.0
ItemName_Veg Petty	hours_18 and StudentIDval_3	0.149	100.0
ItemName_Veg Petty	hours_18 and StudentIDval_2	0.149	100.0
ItemName_Veg Petty	hours_18 and StudentIDval_1	0.149	100.0
ItemName_Veg Petty	hours_18 and StudentIDval_5	0.149	100.0
ItemName_Veg Petty	StudentIDval_7 and hours_17	0.149	100.0
ItemName_Veg Petty	hours_17 and StudentIDval_5	0.149	100.0
ItemName_Chese Toast	hours_25 and StudentIDval_4	0.149	100.0
ItemName_Chese Toast	hours_25 and StudentIDval_3	0.149	100.0
ItemName_Pastry	hours_17 and StudentIDval_4	0.298	50.0
ItemName_Pastry	hours_17 and StudentIDval_6	0.298	50.0
ItemName_Pastry	hours_17 and StudentIDval_1	0.298	50.0
ItemName_Veg Petty	hours_17 and StudentIDval_4	0.298	50.0
ItemName_Veg Petty	hours_17 and StudentIDval_6	0.298	50.0
ItemName_Veg Petty	hours_17 and StudentIDval_1	0.298	50.0
ItemName_Plain Maggi	hours_25 and StudentIDval_6	0.298	50.0
ItemName_Plain Maggi	hours_25 and StudentIDval_1	0.298	50.0
ItemName_Chese Toast	hours_25 and StudentIDval_6	0.298	50.0
ItemName_Chese Toast	hours_25 and StudentIDval_1	0.298	50.0
ItemName_MIX JUICE	hours_17 and StudentIDval_3	0.596	25.0
ItemName_Pastry	hours_17 and StudentIDval_3	0.596	25.0
ItemName_Veg Petty	hours_17 and StudentIDval_3	0.596	25.0
ItemName_Plain Maggi	StudentIDval_7 and hours_24	0.596	25.0
ItemName_COKE MIX 600 ML	StudentIDval_7 and hours_22	0.596	25.0
ItemName_Butter Naan	StudentIDval_7 and hours_22	0.596	25.0
ItemName_Butter Naan	StudentIDval_7 and hours_24	0.596	25.0
ItemName_Ice Cream Shake	StudentIDval_7 and hours_22	0.596	25.0
ItemName_Ice Cream Shake	StudentIDval_7 and hours_24	0.596	25.0
ItemName_Chese Toast	StudentIDval_7 and hours_22	0.596	25.0
ItemName_Chese Toast	StudentIDval_7 and hours_24	0.596	25.0
ItemName_PULPY ORANGE	hours_17 and StudentIDval_3	0.596	25.0
ItemName_Veg Petty	hours_18	4.471	23.333
ItemName_MIX JUICE	hours_17 and StudentIDval_2	0.745	20.0
ItemName_Pastry	hours_17 and StudentIDval_2	0.745	20.0
ItemName_BINOG CHIP @10	hours_17 and StudentIDval_2	0.745	20.0
ItemName_Veg Petty	hours_17 and StudentIDval_2	0.745	20.0
ItemName_Tandury Chicken 1/2	StudentIDval_7 and hours_23	0.745	20.0
ItemName_COKE MIX 600 ML	StudentIDval_7 and hours_23	0.745	20.0
ItemName_Butter Naan	StudentIDval_7 and hours_23	0.745	20.0
ItemName_Ice Cream Shake	StudentIDval_7 and hours_23	0.745	20.0
ItemName_Chese Toast	StudentIDval_7 and hours_23	0.745	20.0
ItemName_PULPY ORANGE	hours_17 and StudentIDval_2	0.745	20.0
ItemName_PULPY ORANGE	StudentIDval_4 and hours_21	0.745	20.0
ItemName_PULPY ORANGE	StudentIDval_2 and hours_21	0.745	20.0
ItemName_COKE MIX 600 ML	StudentIDval_4 and hours_21	0.745	20.0
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_21	0.745	20.0
ItemName_Butter Naan	StudentIDval_4 and hours_21	0.745	20.0
ItemName_Butter Naan	StudentIDval_2 and hours_21	0.745	20.0
ItemName_Ice Cream Shake	StudentIDval_4 and hours_21	0.745	20.0
ItemName_Ice Cream Shake	StudentIDval_2 and hours_21	0.745	20.0
ItemName_Chese Toast	StudentIDval_4 and hours_21	0.745	20.0
ItemName_Chese Toast	StudentIDval_2 and hours_21	0.745	20.0
ItemName_Veg Petty	hours_17	6.259	19.048
ItemName_KADHAI PANEER	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Butter Chicken	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Masala Dosa	StudentIDval_1 and hours_20	0.894	16.667
ItemName_Tandury Chicken 1/2	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Tandury Chicken 1/2	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Plain Maggi	StudentIDval_1 and hours_21	0.894	16.667
ItemName_PULPY ORANGE	StudentIDval_3 and hours_21	0.894	16.667
ItemName_PULPY ORANGE	StudentIDval_1 and hours_21	0.894	16.667
ItemName_PULPY ORANGE	StudentIDval_1 and hours_20	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_6 and hours_20	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_21	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_1 and hours_21	0.894	16.667
ItemName_COKE MIX 600 ML	StudentIDval_1 and hours_20	0.894	16.667
ItemName_Butter Naan	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Butter Naan	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Butter Naan	StudentIDval_1 and hours_21	0.894	16.667
ItemName_Butter Naan	StudentIDval_1 and hours_20	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_6 and hours_20	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_1 and hours_21	0.894	16.667
ItemName_Ice Cream Shake	StudentIDval_1 and hours_20	0.894	16.667
ItemName_Chese Toast	StudentIDval_3 and hours_21	0.894	16.667
ItemName_Chese Toast	StudentIDval_1 and hours_21	0.894	16.667
ItemName_Chese Toast	StudentIDval_1 and hours_20	0.894	16.667
ItemName_Chese Toast	hours_25	4.769	15.625
ItemName_Pastry	hours_17	6.259	14.286
ItemName_Chicken Rice	StudentIDval_6 and hours_21	1.043	14.286
ItemName_Butter Chicken	StudentIDval_6 and hours_21	1.043	14.286
ItemName_Tandury Chicken 1/2	StudentIDval_6 and hours_21	1.043	14.286
ItemName_PULPY ORANGE	StudentIDval_6 and hours_21	1.043	14.286
ItemName_COKE MIX 600 ML	StudentIDval_6 and hours_21	1.043	14.286
ItemName_Butter Naan	StudentIDval_6 and hours_21	1.043	14.286
ItemName_Ice Cream Shake	StudentIDval_6 and hours_21	1.043	14.286
ItemName_Butter Naan	StudentIDval_7	5.663	13.158
ItemName_Ice Cream Shake	StudentIDval_7	5.663	13.158
ItemName_Chese Toast	StudentIDval_7	5.663	13.158
ItemName_CHCO PIE	StudentIDval_5 and hours_21	1.192	12.5
ItemName_Paneer Franky	StudentIDval_5 and hours_21	1.192	12.5
ItemName_KADHAI PANEER	StudentIDval_3 and hours_20	1.192	12.5
ItemName_KADHAI PANEER	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Butter Chicken	StudentIDval_3 and hours_20	1.192	12.5
ItemName_Butter Chicken	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Masala Dosa	StudentIDval_5 and hours_21	1.192	12.5
ItemName_Tandury Chicken 1/2	StudentIDval_3 and hours_20	1.192	12.5
ItemName_Tandury Chicken 1/2	StudentIDval_2 and hours_20	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_3 and hours_20	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_2 and hours_20	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_5 and hours_21	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_20	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_20	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_5 and hours_21	1.192	12.5
