ItemID,BillNo,Quantity,SellingDate,ItemName,SellingPriceDec
1,202,2,"17","Samosa",7
1,1326,1,"23","Samosa",7
1,279,2,"17","Samosa",7
1,1326,1,"23","Samosa",7
1,43,1,"17","Samosa",7
1,1626,1,"23","Samosa",7
1,274,2,"17","Samosa",7
1,1303,1,"23","Samosa",7
1,1127,1,"23","Samosa",7
1,939,1,"23","Samosa",7
1,1007,1,"22","Samosa",7
1,962,1,"22","Samosa",7
1,945,2,"23","Samosa",7
1,1294,1,"23","Samosa",7
1,197,3,"17","Samosa",7
1,1128,2,"23","Samosa",7
1,48,1,"17","Samosa",7
1,1276,2,"23","Samosa",7
1,948,2,"23","Samosa",7
1,983,1,"22","Samosa",7
1,1014,1,"22","Samosa",7
1,109,2,"17","Samosa",7
1,1158,2,"23","Samosa",7
1,110,2,"17","Samosa",7
1,1016,1,"22","Samosa",7
1,1045,2,"22","Samosa",7
1,1155,1,"23","Samosa",7
1,1260,1,"23","Samosa",7
1,1257,1,"23","Samosa",7
1,1141,1,"23","Samosa",7
1,50,1,"17","Samosa",7
1,1255,1,"23","Samosa",7
1,1067,1,"22","Samosa",7
1,1152,1,"23","Samosa",7
1,273,2,"17","Samosa",7
1,1068,1,"22","Samosa",7
1,113,1,"17","Samosa",7
1,1252,2,"23","Samosa",7
1,114,1,"17","Samosa",7
1,1254,1,"23","Samosa",7
1,1249,2,"23","Samosa",7
1,1072,1,"22","Samosa",7
1,1086,1,"22","Samosa",7
1,1098,1,"22","Samosa",7
1,1099,1,"22","Samosa",7
1,1246,1,"23","Samosa",7
1,239,1,"17","Samosa",7
1,212,2,"17","Samosa",7
1,211,1,"17","Samosa",7
1,116,2,"17","Samosa",7
1,117,1,"17","Samosa",7
1,1078,2,"23","Samosa",7
1,209,2,"17","Samosa",7
1,882,2,"22","Samosa",7
1,1075,1,"23","Samosa",7
1,43,2,"17","Samosa",7
1,172,1,"17","Samosa",7
1,1073,2,"23","Samosa",7
1,1318,2,"00","Samosa",7
1,261,1,"17","Samosa",7
1,1319,2,"00","Samosa",7
1,1072,2,"23","Samosa",7
1,1244,2,"23","Samosa",7
1,169,2,"17","Samosa",7
1,1322,1,"00","Samosa",7
1,1223,1,"23","Samosa",7
1,1219,1,"23","Samosa",7
1,1334,1,"00","Samosa",7
1,115,1,"17","Samosa",7
1,1367,1,"00","Samosa",7
1,1369,2,"00","Samosa",7
1,1379,1,"00","Samosa",7
1,1393,1,"00","Samosa",7
1,61,2,"17","Samosa",7
1,1182,1,"23","Samosa",7
1,142,1,"17","Samosa",7
1,917,1,"22","Samosa",7
1,1744,1,"00","Samosa",7
1,63,1,"17","Samosa",7
1,1403,1,"00","Samosa",7
1,238,2,"17","Samosa",7
1,137,1,"17","Samosa",7
1,940,1,"22","Samosa",7
1,941,2,"22","Samosa",7
1,899,1,"22","Samosa",7
1,50,2,"17","Samosa",7
1,122,1,"17","Samosa",7
1,1163,2,"23","Samosa",7
1,1162,1,"23","Samosa",7
1,121,1,"17","Samosa",7
1,119,1,"17","Samosa",7
1,949,1,"22","Samosa",7
1,117,2,"17","Samosa",7
1,52,1,"17","Samosa",7
1,1857,1,"01","Samosa",7
1,836,1,"22","Samosa",7
1,122,2,"17","Samosa",7
1,837,1,"22","Samosa",7
1,248,2,"17","Samosa",7
1,115,1,"17","Samosa",7
1,1567,1,"23","Samosa",7
1,1141,1,"22","Samosa",7
1,67,1,"17","Samosa",7
1,1647,1,"23","Samosa",7
1,1409,1,"00","Samosa",7
1,1415,1,"00","Samosa",7
1,1449,1,"00","Samosa",7
1,1120,2,"23","Samosa",7
1,1417,1,"00","Samosa",7
1,167,1,"17","Samosa",7
1,165,1,"17","Samosa",7
1,480,10,"20","Samosa",7
1,1463,4,"00","Samosa",7
1,1600,1,"23","Samosa",7
1,274,1,"17","Samosa",7
1,163,1,"17","Samosa",7
1,242,1,"17","Samosa",7
1,71,3,"17","Samosa",7
1,1466,2,"00","Samosa",7
1,855,1,"22","Samosa",7
1,1550,1,"23","Samosa",7
1,1472,1,"00","Samosa",7
1,1535,1,"23","Samosa",7
1,62,1,"17","Samosa",7
1,233,1,"17","Samosa",7
1,1476,2,"00","Samosa",7
1,445,2,"20","Samosa",7
1,1129,2,"23","Samosa",7
1,161,1,"17","Samosa",7
1,78,1,"17","Samosa",7
1,367,2,"20","Samosa",7
1,320,2,"17","Samosa",7
1,1477,2,"00","Samosa",7
1,81,2,"17","Samosa",7
1,1568,2,"23","Samosa",7
1,1311,2,"23","Samosa",7
1,1491,1,"23","Samosa",7
1,1547,1,"00","Samosa",7
1,1442,2,"23","Samosa",7
1,1309,1,"23","Samosa",7
1,282,1,"17","Samosa",7
1,154,1,"17","Samosa",7
1,282,1,"17","Samosa",7
1,1478,2,"00","Samosa",7
1,1436,2,"23","Samosa",7
1,765,2,"21","Samosa",7
1,285,1,"17","Samosa",7
1,1482,1,"00","Samosa",7
1,87,1,"17","Samosa",7
1,1432,1,"23","Samosa",7
1,149,2,"17","Samosa",7
1,1539,1,"00","Samosa",7
1,1537,2,"00","Samosa",7
1,1386,1,"00","Samosa",7
1,1225,1,"23","Samosa",7
1,1633,2,"23","Samosa",7
1,88,1,"17","Samosa",7
1,895,1,"22","Samosa",7
1,317,2,"17","Samosa",7
1,1742,2,"00","Samosa",7
1,1415,2,"23","Samosa",7
1,1494,2,"00","Samosa",7
1,147,1,"17","Samosa",7
1,311,1,"17","Samosa",7
1,298,1,"17","Samosa",7
1,91,1,"17","Samosa",7
1,912,2,"23","Samosa",7
1,860,1,"22","Samosa",7
1,1406,1,"23","Samosa",7
1,1405,2,"23","Samosa",7
1,704,1,"21","Samosa",7
1,1264,2,"23","Samosa",7
1,151,1,"17","Samosa",7
1,1401,1,"23","Samosa",7
1,1491,1,"00","Samosa",7
1,315,1,"17","Samosa",7
1,1480,2,"00","Samosa",7
1,1371,2,"00","Samosa",7
1,231,2,"17","Samosa",7
1,321,2,"17","Samosa",7
1,1263,1,"23","Samosa",7
1,96,1,"17","Samosa",7
1,213,1,"17","Samosa",7
1,1042,1,"22","Samosa",7
1,1364,1,"00","Samosa",7
1,157,1,"17","Samosa",7
1,136,1,"17","Samosa",7
1,1251,1,"23","Samosa",7
1,321,2,"17","Samosa",7
1,1385,1,"23","Samosa",7
1,1235,1,"23","Samosa",7
1,1379,1,"23","Samosa",7
1,1165,1,"23","Samosa",7
1,1372,1,"23","Samosa",7
1,639,1,"21","Samosa",7
1,4,2,"17","Samosa",7
1,323,4,"17","Samosa",7
1,679,1,"22","Samosa",7
1,1157,1,"23","Samosa",7
1,740,1,"21","Samosa",7
1,1603,1,"23","Samosa",7
1,5,2,"17","Samosa",7
1,793,1,"22","Samosa",7
1,756,1,"22","Samosa",7
1,133,2,"17","Samosa",7
1,338,2,"17","Samosa",7
1,1433,1,"00","Samosa",7
1,1273,1,"23","Samosa",7
1,753,1,"22","Samosa",7
1,131,1,"17","Samosa",7
1,740,1,"22","Samosa",7
1,1098,2,"22","Samosa",7
1,1089,2,"22","Samosa",7
1,1667,1,"23","Samosa",7
1,295,1,"17","Samosa",7
1,1076,2,"22","Samosa",7
1,871,1,"22","Samosa",7
1,107,3,"17","Samosa",7
1,1036,2,"22","Samosa",7
1,869,1,"22","Samosa",7
1,293,2,"17","Samosa",7
1,868,1,"22","Samosa",7
1,9,1,"17","Samosa",7
1,1013,2,"22","Samosa",7
1,866,1,"22","Samosa",7
1,883,1,"22","Samosa",7
1,897,1,"22","Samosa",7
1,225,1,"17","Samosa",7
1,860,2,"22","Samosa",7
1,625,2,"21","Samosa",7
1,169,2,"17","Samosa",7
1,857,2,"22","Samosa",7
1,624,2,"21","Samosa",7
1,580,2,"21","Samosa",7
1,856,2,"22","Samosa",7
1,11,2,"17","Samosa",7
1,1580,1,"00","Samosa",7
1,12,1,"17","Samosa",7
1,847,2,"22","Samosa",7
1,170,2,"17","Samosa",7
1,288,2,"17","Samosa",7
1,12,1,"17","Samosa",7
1,171,2,"17","Samosa",7
1,94,1,"17","Samosa",7
1,1060,1,"22","Samosa",7
1,176,3,"17","Samosa",7
1,1534,2,"23","Samosa",7
1,826,1,"22","Samosa",7
1,14,1,"17","Samosa",7
1,242,4,"17","Samosa",7
1,1568,2,"23","Samosa",7
1,178,1,"17","Samosa",7
1,88,2,"17","Samosa",7
1,195,1,"17","Samosa",7
1,182,2,"17","Samosa",7
1,87,2,"17","Samosa",7
1,181,3,"17","Samosa",7
1,985,1,"22","Samosa",7
1,86,1,"17","Samosa",7
1,182,2,"17","Samosa",7
1,817,1,"22","Samosa",7
1,19,2,"17","Samosa",7
1,976,1,"22","Samosa",7
1,974,2,"22","Samosa",7
1,1549,2,"23","Samosa",7
1,967,1,"22","Samosa",7
1,183,2,"17","Samosa",7
1,175,1,"17","Samosa",7
1,809,2,"22","Samosa",7
1,806,1,"22","Samosa",7
1,1223,1,"23","Samosa",7
1,341,1,"17","Samosa",7
1,21,2,"17","Samosa",7
1,1606,1,"23","Samosa",7
1,186,1,"17","Samosa",7
1,319,1,"17","Samosa",7
1,968,1,"22","Samosa",7
1,187,1,"17","Samosa",7
1,1552,1,"23","Samosa",7
1,950,2,"22","Samosa",7
1,319,1,"17","Samosa",7
1,25,2,"17","Samosa",7
1,316,1,"17","Samosa",7
1,942,2,"22","Samosa",7
1,188,1,"17","Samosa",7
1,939,1,"22","Samosa",7
1,78,1,"17","Samosa",7
1,1276,1,"23","Samosa",7
1,26,2,"17","Samosa",7
1,514,2,"20","Samosa",7
1,923,1,"22","Samosa",7
1,922,1,"22","Samosa",7
1,921,1,"22","Samosa",7
1,1548,2,"23","Samosa",7
1,189,2,"17","Samosa",7
1,191,2,"17","Samosa",7
1,181,7,"17","Samosa",7
1,315,1,"17","Samosa",7
1,313,2,"17","Samosa",7
1,192,2,"17","Samosa",7
1,30,1,"17","Samosa",7
1,487,2,"20","Samosa",7
1,1538,3,"23","Samosa",7
1,184,1,"17","Samosa",7
1,193,1,"17","Samosa",7
1,83,2,"17","Samosa",7
1,32,2,"17","Samosa",7
1,900,1,"22","Samosa",7
1,1602,1,"00","Samosa",7
1,195,2,"17","Samosa",7
1,963,1,"23","Samosa",7
1,1521,1,"23","Samosa",7
1,969,1,"23","Samosa",7
1,199,1,"17","Samosa",7
1,200,1,"17","Samosa",7
1,201,2,"17","Samosa",7
1,892,1,"22","Samosa",7
1,691,2,"21","Samosa",7
1,1513,1,"23","Samosa",7
1,308,1,"17","Samosa",7
1,229,2,"17","Samosa",7
1,1508,2,"23","Samosa",7
1,976,1,"23","Samosa",7
1,70,2,"17","Samosa",7
1,69,2,"17","Samosa",7
1,1504,1,"23","Samosa",7
1,187,1,"17","Samosa",7
1,68,1,"17","Samosa",7
1,307,1,"17","Samosa",7
1,978,2,"23","Samosa",7
1,293,1,"17","Samosa",7
1,287,2,"17","Samosa",7
1,66,1,"17","Samosa",7
1,59,2,"17","Samosa",7
1,397,1,"20","Samosa",7
1,984,1,"23","Samosa",7
1,983,1,"22","Samosa",7
1,38,2,"17","Samosa",7
1,35,1,"17","Samosa",7
1,986,2,"23","Samosa",7
1,993,1,"22","Samosa",7
1,1483,1,"23","Samosa",7
1,25,1,"17","Samosa",7
1,1474,2,"23","Samosa",7
1,25,1,"17","Samosa",7
1,190,1,"17","Samosa",7
1,1463,2,"23","Samosa",7
1,97,1,"17","Samosa",7
1,1487,1,"23","Samosa",7
1,1609,1,"23","Samosa",7
1,1110,1,"22","Samosa",7
1,22,1,"17","Samosa",7
1,1107,1,"22","Samosa",7
1,1397,1,"23","Samosa",7
1,1612,1,"23","Samosa",7
1,990,2,"23","Samosa",7
1,571,2,"21","Samosa",7
1,999,1,"23","Samosa",7
1,1379,3,"23","Samosa",7
1,1094,1,"22","Samosa",7
1,207,2,"17","Samosa",7
1,206,1,"17","Samosa",7
1,205,2,"17","Samosa",7
1,1071,1,"22","Samosa",7
1,1067,2,"22","Samosa",7
1,1471,1,"23","Samosa",7
1,1469,1,"23","Samosa",7
1,1059,1,"22","Samosa",7
1,1368,2,"23","Samosa",7
1,1378,1,"23","Samosa",7
1,907,1,"22","Samosa",7
