BillNo,SellingDate,ItemName_5*,ItemName_5* CRUNCHY,ItemName_5STAR,ItemName_BHELPURI,ItemName_BIKANO NAMKEEN,ItemName_BINOG CHIP @10,ItemName_BINOG CHIP @20,ItemName_BIS 50-50 @10,ItemName_BIS GD BUTTER @10,ItemName_BIS GD CASHEW @10,ItemName_BIS GD COCONUT@20,ItemName_BIS GD PISTA @20,ItemName_BIS JAM TREAT @15,ItemName_BIS PURE MAGIC@25,ItemName_BIS SF CREAM@10,ItemName_BIS SF DREAM @10,ItemName_BOURBON,ItemName_BOURBON 20,ItemName_BOURBONE@18,ItemName_BOURNVILLE,ItemName_BRT CAKES,ItemName_BRT TIGER,ItemName_Banana Shake,ItemName_Butter Chicken,ItemName_Butter Naan,ItemName_Butter Roti,ItemName_CAKE SANDWICH,ItemName_CHCO PIE,ItemName_CHI SOOP,ItemName_CHI.PASTA,ItemName_CHILLI PANEER,ItemName_CHILLY CHICKEN ,ItemName_CHIPS,ItemName_COKE 600 ML ,ItemName_COKE CAN,ItemName_COKE CAN 300 ML,ItemName_COKE MIX 600 ML,ItemName_COOKIES,ItemName_Chese Burger,ItemName_Chese Pizza,ItemName_Chese Toast,ItemName_Chicken Curry,ItemName_Chicken Pizza,ItemName_Chicken Rice,ItemName_Chicken Sandwich,ItemName_Coffee,ItemName_DAHI BHALLA,ItemName_DAIRY MILK,ItemName_DAIRY MILK SILKY,ItemName_DAIRY MILK@35,ItemName_DARK FANTASY@25,ItemName_DEW MIX,ItemName_DIGESTIVE,ItemName_DUKE WAFFY BISCUIT,ItemName_Dum Aloo,ItemName_Egg Rice,ItemName_FINE,ItemName_FRANCH FRY,ItemName_FUNGAMA,ItemName_Fried Maggi,ItemName_Frit Shake,ItemName_GALAXY MILK,ItemName_HOBNOBS,ItemName_HR NAMKEEN @10,ItemName_Ice Cream Shake,ItemName_JUMPIN MANGO,ItemName_KADHAI PANEER,ItemName_LITTLE HEARTS,ItemName_MANGO DRINK,ItemName_MARS SNACK,ItemName_MAZZA PET 600 ML,ItemName_MCVITIES BIS.,ItemName_MIX JUICE,ItemName_MYCAN,ItemName_Masala Dosa,ItemName_Mazza T.P,ItemName_Mix Uttapam,ItemName_Mutter Paneer,ItemName_OMLETE,ItemName_OREO,ItemName_Onion Masala Dosa,ItemName_Onion Uttapam,ItemName_PACKING CHARGE,ItemName_PANEER SANDWICH,ItemName_PEPSI 600ML,ItemName_PERFETTI HAPPYDENT,ItemName_PERK / DAIRY MILK,ItemName_PULPY LEMON,ItemName_PULPY ORANGE,ItemName_Paneer Franky,ItemName_Paneer Maggi,ItemName_Paneer Petty,ItemName_Pasta,ItemName_Pastry,ItemName_Plain Dosa,ItemName_Plain Maggi,ItemName_Plain Roti,ItemName_REAL ,ItemName_RED BULL,ItemName_REIMBURSEMENT,ItemName_SAMOSA CHAT,ItemName_SINGLE SCOOP,ItemName_SLICE 600ML,ItemName_SLICE TP,ItemName_SNICKERS SNACK ,ItemName_SOAN N PAPDI,ItemName_Samosa,ItemName_TANDOORI FULL,ItemName_TIGER,ItemName_TREAT,ItemName_TROPICANA,ItemName_TROPICANA APPLE,ItemName_Tandury Chicken 1/2,ItemName_Tea,ItemName_Veg Burger,ItemName_Veg Chomin,ItemName_Veg Petty,ItemName_Veg Pizza,ItemName_Veg Rice,ItemName_WATER
202,"17","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F"
1326,"23","F","F","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
279,"17","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F"
43,"17","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F"
1626,"23","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
274,"17","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F"
1303,"23","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","T","T","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
1127,"23","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
939,"23","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
1007,"22","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","T","F"
962,"22","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","T","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
945,"23","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
1294,"23","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F"
197,"17","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F"
